Nationality,Age,BookingsCanceled,PersonsNights,RoomNights,Recomendation
PRT,51.0,1.0,8.0,5.0,Yes
PRT,23.0,0.0,10.0,5.0,Yes
DEU,31.0,0.0,0.0,0.0,Yes
FRA,60.0,0.0,10.0,5.0,Yes
FRA,51.0,0.0,0.0,0.0,Yes
JPN,54.0,0.0,4.0,2.0,Yes
JPN,49.0,0.0,0.0,0.0,No
FRA,32.0,0.0,10.0,5.0,Yes
FRA,42.0,0.0,0.0,0.0,No
IRL,25.0,0.0,6.0,3.0,Yes
IRL,27.0,0.0,0.0,0.0,Yes
FRA,58.0,0.0,10.0,5.0,Yes
FRA,56.0,0.0,0.0,0.0,Yes
ESP,42.0,0.0,8.0,4.0,Yes
ESP,57.0,0.0,0.0,0.0,No
FRA,68.0,0.0,6.0,3.0,Yes
FRA,72.0,0.0,3.0,3.0,Yes
FRA,71.0,0.0,0.0,0.0,No
FRA,24.0,0.0,8.0,4.0,Yes
FRA,26.0,0.0,0.0,0.0,No
PRT,21.0,0.0,4.0,2.0,Yes
BEL,50.0,0.0,8.0,4.0,Yes
NLD,52.0,0.0,0.0,0.0,No
FRA,32.0,0.0,6.0,3.0,Yes
FRA,36.0,0.0,0.0,0.0,No
AUT,64.0,0.0,3.0,3.0,Yes
FRA,64.0,0.0,10.0,5.0,Yes
FRA,65.0,0.0,0.0,0.0,No
AUT,47.0,0.0,3.0,3.0,Yes
AUT,67.0,0.0,3.0,3.0,Yes
PRT,39.0,0.0,18.0,14.0,Yes
PRT,71.0,0.0,6.0,3.0,Yes
PRT,41.0,0.0,0.0,0.0,No
PRT,43.0,0.0,6.0,3.0,Yes
PRT,3.0,0.0,0.0,0.0,No
PRT,63.0,0.0,0.0,0.0,No
DEU,30.0,0.0,8.0,4.0,Yes
DEU,28.0,0.0,0.0,0.0,No
PRT,21.0,0.0,1.0,1.0,No
PRT,33.0,0.0,1.0,1.0,No
ITA,52.0,0.0,6.0,3.0,No
ITA,18.0,0.0,0.0,0.0,No
FRA,53.0,0.0,10.0,5.0,Yes
FRA,52.0,0.0,0.0,0.0,No
ITA,48.0,0.0,6.0,3.0,Yes
ITA,17.0,0.0,0.0,0.0,No
CHN,25.0,0.0,4.0,2.0,Yes
CHN,26.0,0.0,0.0,0.0,No
RUS,43.0,0.0,2.0,1.0,Yes
POL,53.0,0.0,8.0,4.0,Yes
POL,53.0,0.0,0.0,0.0,No
ITA,36.0,0.0,3.0,3.0,Yes
ITA,30.0,0.0,4.0,2.0,Yes
ITA,32.0,0.0,0.0,0.0,No
PRT,38.0,0.0,3.0,3.0,Yes
PRT,22.0,0.0,8.0,4.0,Yes
ITA,40.0,0.0,6.0,3.0,Yes
ITA,36.0,0.0,0.0,0.0,No
PRT,21.0,0.0,2.0,2.0,Yes
PRT,20.0,0.0,2.0,1.0,Yes
ITA,39.0,0.0,6.0,3.0,Yes
ITA,48.0,0.0,0.0,0.0,No
ITA,32.0,0.0,3.0,3.0,Yes
USA,65.0,0.0,14.0,7.0,Yes
HUN,59.0,0.0,0.0,0.0,No
PRT,19.0,0.0,3.0,1.0,Yes
FRA,50.0,0.0,15.0,5.0,Yes
FRA,13.0,0.0,0.0,0.0,No
FRA,51.0,0.0,0.0,0.0,No
PRT,21.0,0.0,8.0,4.0,Yes
ESP,61.0,0.0,0.0,0.0,No
FRA,69.0,0.0,12.0,6.0,Yes
FRA,69.0,0.0,0.0,0.0,No
FRA,49.0,0.0,12.0,6.0,Yes
FRA,55.0,0.0,0.0,0.0,No
FRA,70.0,0.0,12.0,4.0,Yes
FRA,34.0,0.0,8.0,4.0,Yes
FRA,28.0,0.0,8.0,4.0,Yes
FRA,66.0,0.0,8.0,4.0,Yes
FRA,72.0,0.0,8.0,4.0,Yes
FRA,71.0,0.0,0.0,0.0,No
ESP,3.0,0.0,8.0,4.0,Yes
ESP,40.0,0.0,0.0,0.0,No
PRT,28.0,0.0,12.0,4.0,Yes
ESP,82.0,0.0,0.0,0.0,No
ESP,35.0,0.0,0.0,0.0,No
ESP,39.0,0.0,12.0,4.0,Yes
ESP,6.0,0.0,0.0,0.0,No
ESP,38.0,0.0,0.0,0.0,No
ESP,42.0,0.0,8.0,4.0,Yes
ESP,70.0,0.0,0.0,0.0,No
ESP,68.0,0.0,10.0,5.0,Yes
ESP,70.0,0.0,0.0,0.0,No
ESP,60.0,0.0,10.0,5.0,Yes
ESP,57.0,0.0,0.0,0.0,No
ESP,71.0,0.0,10.0,5.0,Yes
ESP,67.0,0.0,0.0,0.0,No
ESP,62.0,0.0,10.0,5.0,Yes
ESP,57.0,0.0,0.0,0.0,No
CRI,61.0,0.0,6.0,3.0,Yes
PRT,23.0,0.0,6.0,3.0,Yes
FRA,61.0,0.0,8.0,4.0,Yes
ITA,67.0,0.0,6.0,3.0,No
ITA,65.0,0.0,0.0,0.0,No
BEL,59.0,0.0,6.0,3.0,Yes
PRT,56.0,0.0,0.0,0.0,No
ESP,63.0,0.0,6.0,3.0,Yes
FRA,45.0,0.0,6.0,3.0,Yes
MEX,61.0,0.0,0.0,0.0,No
ESP,66.0,0.0,3.0,3.0,Yes
FRA,13.0,0.0,0.0,0.0,No
ESP,56.0,0.0,4.0,2.0,No
ESP,48.0,0.0,0.0,0.0,No
PRT,34.0,0.0,6.0,3.0,Yes
ESP,37.0,0.0,10.0,5.0,Yes
RUS,29.0,0.0,0.0,0.0,No
FRA,43.0,0.0,16.0,4.0,Yes
FRA,10.0,0.0,0.0,0.0,No
FRA,40.0,0.0,0.0,0.0,No
FRA,3.0,0.0,0.0,0.0,No
FRA,8.0,0.0,0.0,0.0,No
ESP,40.0,0.0,6.0,3.0,Yes
PRT,41.0,0.0,9.0,3.0,Yes
PRT,7.0,0.0,0.0,0.0,No
PRT,4.0,0.0,0.0,0.0,No
ESP,45.0,0.0,6.0,3.0,Yes
PRT,44.0,0.0,8.0,2.0,Yes
PRT,9.0,0.0,0.0,0.0,No
PRT,13.0,0.0,0.0,0.0,No
PRT,40.0,0.0,0.0,0.0,No
FRA,51.0,0.0,6.0,3.0,Yes
FRA,65.0,0.0,0.0,0.0,No
ESP,43.0,0.0,6.0,3.0,Yes
ESP,40.0,0.0,0.0,0.0,No
PRT,45.0,0.0,4.0,1.0,Yes
CHE,60.0,0.0,6.0,3.0,Yes
CHE,62.0,0.0,0.0,0.0,No
FRA,72.0,0.0,8.0,4.0,Yes
FRA,66.0,0.0,8.0,4.0,Yes
FRA,63.0,0.0,0.0,0.0,No
CHE,37.0,0.0,12.0,6.0,Yes
CHE,39.0,0.0,0.0,0.0,No
FRA,59.0,0.0,8.0,4.0,Yes
FRA,60.0,0.0,0.0,0.0,No
FRA,61.0,0.0,6.0,3.0,Yes
FRA,60.0,0.0,0.0,0.0,No
ESP,36.0,0.0,2.0,1.0,No
ESP,44.0,0.0,0.0,0.0,No
USA,34.0,0.0,8.0,2.0,Yes
USA,33.0,0.0,0.0,0.0,No
USA,10.0,0.0,0.0,0.0,No
USA,22.0,0.0,0.0,0.0,No
USA,33.0,0.0,0.0,0.0,No
PRT,43.0,0.0,6.0,3.0,Yes
PRT,60.0,0.0,4.0,2.0,Yes
PRT,72.0,0.0,0.0,0.0,No
CRI,38.0,0.0,6.0,3.0,Yes
FRA,61.0,0.0,8.0,4.0,Yes
PRT,46.0,0.0,18.0,6.0,Yes
FRA,43.0,0.0,0.0,0.0,Yes
FRA,20.0,0.0,0.0,0.0,Yes
USA,68.0,0.0,15.0,5.0,Yes
USA,27.0,0.0,0.0,0.0,No
USA,63.0,0.0,0.0,0.0,No
FRA,67.0,0.0,8.0,4.0,Yes
FRA,64.0,0.0,0.0,0.0,No
DEU,60.0,0.0,22.0,11.0,Yes
DEU,50.0,0.0,0.0,0.0,No
ESP,53.0,0.0,8.0,4.0,Yes
ESP,54.0,0.0,0.0,0.0,No
ITA,55.0,0.0,12.0,4.0,Yes
ITA,53.0,0.0,0.0,0.0,No
ITA,14.0,0.0,0.0,0.0,No
PRT,55.0,0.0,8.0,4.0,Yes
ITA,59.0,0.0,8.0,4.0,Yes
ITA,55.0,0.0,0.0,0.0,No
PRT,34.0,0.0,8.0,4.0,Yes
ITA,34.0,0.0,8.0,4.0,Yes
ITA,43.0,0.0,0.0,0.0,No
ITA,38.0,0.0,8.0,4.0,Yes
ITA,35.0,0.0,0.0,0.0,No
DEU,67.0,0.0,4.0,2.0,Yes
DEU,54.0,0.0,0.0,0.0,No
ITA,58.0,0.0,8.0,4.0,Yes
ITA,53.0,0.0,0.0,0.0,No
ITA,55.0,0.0,8.0,4.0,Yes
ITA,58.0,0.0,0.0,0.0,No
FRA,72.0,0.0,8.0,4.0,Yes
FRA,74.0,0.0,0.0,0.0,No
PRT,53.0,0.0,8.0,4.0,Yes
ITA,35.0,0.0,8.0,4.0,Yes
ITA,38.0,0.0,0.0,0.0,No
FRA,69.0,0.0,6.0,3.0,Yes
FRA,63.0,0.0,0.0,0.0,No
FRA,33.0,0.0,3.0,3.0,No
JPN,47.0,0.0,4.0,1.0,Yes
JPN,14.0,0.0,0.0,0.0,No
JPN,11.0,0.0,0.0,0.0,No
FRA,33.0,0.0,3.0,3.0,No
PRT,65.0,0.0,8.0,4.0,Yes
PRT,45.0,0.0,9.0,3.0,Yes
PRT,33.0,0.0,3.0,3.0,Yes
PRT,60.0,0.0,8.0,4.0,Yes
PRT,58.0,0.0,0.0,0.0,No
FRA,53.0,0.0,10.0,5.0,No
FRA,46.0,0.0,0.0,0.0,No
FRA,73.0,0.0,8.0,4.0,Yes
CHE,69.0,0.0,0.0,0.0,No
JPN,52.0,0.0,6.0,2.0,Yes
JPN,42.0,0.0,0.0,0.0,Yes
PRT,38.0,0.0,2.0,1.0,No
PRT,40.0,0.0,0.0,0.0,Yes
DEU,53.0,0.0,21.0,7.0,Yes
DEU,47.0,0.0,0.0,0.0,No
DEU,23.0,0.0,0.0,0.0,No
PRT,43.0,0.0,8.0,4.0,Yes
ITA,57.0,0.0,6.0,3.0,Yes
ITA,69.0,0.0,0.0,0.0,No
ESP,41.0,0.0,6.0,3.0,Yes
ESP,62.0,0.0,0.0,0.0,No
PRT,32.0,0.0,6.0,3.0,Yes
PRT,45.0,0.0,2.0,1.0,Yes
ITA,41.0,0.0,6.0,3.0,Yes
FRA,29.0,0.0,0.0,0.0,No
ITA,32.0,0.0,0.0,0.0,No
PRT,21.0,0.0,2.0,1.0,Yes
FRA,44.0,0.0,6.0,3.0,Yes
FRA,43.0,0.0,0.0,0.0,No
FRA,52.0,0.0,6.0,3.0,Yes
PRT,42.0,0.0,6.0,3.0,Yes
ITA,25.0,0.0,8.0,4.0,Yes
ITA,25.0,0.0,0.0,0.0,No
PRT,23.0,0.0,6.0,3.0,Yes
FRA,60.0,0.0,6.0,3.0,Yes
FRA,54.0,0.0,0.0,0.0,No
FRA,47.0,0.0,6.0,3.0,Yes
FRA,39.0,0.0,0.0,0.0,No
FRA,63.0,0.0,6.0,3.0,Yes
FRA,54.0,0.0,0.0,0.0,No
FRA,59.0,0.0,6.0,3.0,Yes
CHE,26.0,0.0,2.0,1.0,Yes
CHE,24.0,0.0,0.0,0.0,No
FRA,39.0,0.0,6.0,3.0,Yes
ROU,61.0,0.0,22.0,11.0,Yes
ROU,28.0,0.0,0.0,0.0,No
PRT,35.0,0.0,6.0,3.0,Yes
FRA,42.0,0.0,0.0,0.0,No
FRA,34.0,0.0,6.0,3.0,Yes
FRA,56.0,0.0,0.0,0.0,No
FRA,30.0,0.0,6.0,3.0,Yes
FRA,30.0,0.0,16.0,8.0,Yes
FRA,32.0,0.0,0.0,0.0,No
ROU,30.0,0.0,22.0,11.0,Yes
ROU,58.0,0.0,0.0,0.0,No
ESP,31.0,0.0,4.0,2.0,Yes
ESP,28.0,0.0,0.0,0.0,No
FRA,58.0,0.0,6.0,3.0,Yes
FRA,54.0,0.0,6.0,3.0,Yes
FRA,60.0,0.0,0.0,0.0,No
PRT,38.0,0.0,8.0,4.0,Yes
ITA,34.0,0.0,0.0,0.0,No
GBR,65.0,0.0,6.0,3.0,Yes
GBR,65.0,0.0,0.0,0.0,No
PRT,34.0,0.0,8.0,4.0,Yes
PRT,36.0,0.0,3.0,3.0,No
PRT,21.0,0.0,4.0,2.0,Yes
PRT,46.0,0.0,6.0,3.0,Yes
FRA,45.0,0.0,0.0,0.0,No
FRA,56.0,0.0,8.0,4.0,Yes
BIH,33.0,0.0,0.0,0.0,No
PRT,22.0,0.0,2.0,1.0,Yes
FRA,65.0,0.0,12.0,6.0,Yes
FRA,68.0,0.0,0.0,0.0,No
ESP,43.0,0.0,10.0,5.0,Yes
ESP,35.0,0.0,0.0,0.0,No
CHE,28.0,0.0,10.0,5.0,Yes
ESP,29.0,0.0,0.0,0.0,No
ESP,44.0,0.0,10.0,5.0,Yes
ESP,43.0,0.0,0.0,0.0,No
ITA,71.0,0.0,6.0,3.0,Yes
ITA,69.0,0.0,0.0,0.0,No
PRT,43.0,0.0,6.0,3.0,Yes
FRA,55.0,0.0,6.0,3.0,Yes
FRA,51.0,0.0,0.0,0.0,No
PRT,32.0,0.0,6.0,3.0,Yes
ITA,65.0,0.0,6.0,3.0,Yes
ITA,74.0,0.0,0.0,0.0,No
PRT,31.0,0.0,6.0,3.0,Yes
PRT,21.0,0.0,3.0,3.0,Yes
ITA,43.0,0.0,0.0,0.0,No
PRT,22.0,0.0,6.0,3.0,Yes
PRT,19.0,0.0,0.0,0.0,No
PRT,58.0,0.0,6.0,3.0,Yes
PRT,59.0,0.0,0.0,0.0,No
PRT,54.0,0.0,6.0,3.0,Yes
PRT,50.0,0.0,0.0,0.0,No
PRT,78.0,0.0,6.0,3.0,Yes
PRT,77.0,0.0,0.0,0.0,No
PRT,68.0,0.0,6.0,3.0,Yes
PRT,71.0,0.0,0.0,0.0,No
PRT,31.0,0.0,8.0,4.0,Yes
PRT,31.0,0.0,8.0,4.0,Yes
BRA,41.0,0.0,15.0,5.0,Yes
BRA,21.0,0.0,0.0,0.0,No
BRA,42.0,0.0,0.0,0.0,No
ITA,58.0,0.0,3.0,3.0,Yes
ITA,60.0,0.0,6.0,3.0,Yes
ITA,65.0,0.0,0.0,0.0,No
ITA,66.0,0.0,6.0,3.0,Yes
ITA,63.0,0.0,0.0,0.0,No
ITA,44.0,0.0,3.0,3.0,Yes
ITA,61.0,0.0,3.0,3.0,Yes
ITA,63.0,0.0,3.0,3.0,Yes
ITA,68.0,0.0,6.0,3.0,Yes
ITA,59.0,0.0,0.0,0.0,No
ITA,65.0,0.0,6.0,3.0,Yes
ITA,69.0,0.0,0.0,0.0,No
ITA,41.0,0.0,6.0,3.0,Yes
ITA,38.0,0.0,0.0,0.0,No
ITA,67.0,0.0,3.0,3.0,Yes
ITA,74.0,0.0,6.0,3.0,Yes
PRT,43.0,0.0,3.0,3.0,Yes
ITA,42.0,0.0,6.0,3.0,Yes
ITA,14.0,0.0,0.0,0.0,No
ITA,39.0,0.0,6.0,3.0,Yes
ITA,71.0,0.0,6.0,3.0,Yes
ITA,52.0,0.0,6.0,3.0,Yes
ITA,76.0,0.0,0.0,0.0,No
ITA,58.0,0.0,6.0,3.0,Yes
ITA,50.0,0.0,0.0,0.0,No
ITA,72.0,0.0,3.0,3.0,Yes
ITA,47.0,0.0,6.0,3.0,Yes
ITA,11.0,0.0,0.0,0.0,No
DEU,30.0,0.0,12.0,6.0,Yes
DEU,25.0,0.0,0.0,0.0,No
ITA,75.0,0.0,0.0,0.0,No
ITA,65.0,0.0,6.0,3.0,Yes
ITA,60.0,0.0,0.0,0.0,No
PRT,38.0,0.0,6.0,3.0,Yes
PRT,43.0,0.0,0.0,0.0,No
PRT,21.0,0.0,6.0,3.0,Yes
PRT,22.0,0.0,6.0,3.0,Yes
ESP,57.0,0.0,6.0,3.0,Yes
ESP,53.0,0.0,0.0,0.0,No
PRT,43.0,0.0,6.0,3.0,Yes
ITA,59.0,0.0,6.0,3.0,Yes
ITA,51.0,0.0,0.0,0.0,No
ITA,57.0,0.0,6.0,3.0,Yes
ITA,57.0,0.0,0.0,0.0,No
PRT,21.0,0.0,6.0,3.0,Yes
PRT,72.0,0.0,0.0,0.0,No
PRT,13.0,0.0,14.0,7.0,Yes
PRT,15.0,0.0,0.0,0.0,No
PRT,48.0,0.0,14.0,7.0,Yes
PRT,45.0,0.0,0.0,0.0,No
PRT,73.0,0.0,6.0,3.0,Yes
PRT,72.0,0.0,0.0,0.0,No
PRT,68.0,0.0,6.0,3.0,Yes
PRT,72.0,0.0,0.0,0.0,No
PRT,41.0,0.0,3.0,3.0,Yes
PRT,78.0,0.0,0.0,0.0,No
PRT,83.0,0.0,6.0,3.0,Yes
PRT,73.0,0.0,0.0,0.0,No
CHE,54.0,0.0,30.0,10.0,Yes
CHE,43.0,0.0,0.0,0.0,No
CHE,21.0,0.0,0.0,0.0,No
PRT,30.0,0.0,12.0,4.0,Yes
FRA,25.0,0.0,6.0,3.0,Yes
FRA,24.0,0.0,0.0,0.0,No
ITA,70.0,0.0,6.0,3.0,Yes
ITA,67.0,0.0,0.0,0.0,No
PRT,21.0,0.0,6.0,3.0,Yes
ESP,27.0,0.0,0.0,0.0,No
PRT,67.0,0.0,1.0,1.0,Yes
PRT,43.0,0.0,2.0,1.0,Yes
PRT,25.0,0.0,0.0,0.0,No
ITA,55.0,0.0,3.0,3.0,Yes
PRT,44.0,0.0,22.0,18.0,Yes
USA,72.0,0.0,1.0,1.0,Yes
DEU,68.0,0.0,6.0,3.0,Yes
DEU,68.0,0.0,0.0,0.0,No
DEU,55.0,0.0,6.0,3.0,Yes
DEU,64.0,0.0,0.0,0.0,No
PRT,28.0,0.0,2.0,1.0,Yes
PRT,30.0,0.0,6.0,3.0,Yes
FRA,66.0,0.0,10.0,5.0,Yes
FRA,65.0,0.0,0.0,0.0,No
FIN,37.0,0.0,10.0,5.0,Yes
FIN,47.0,0.0,0.0,0.0,No
ITA,25.0,0.0,12.0,6.0,Yes
ITA,56.0,0.0,0.0,0.0,No
FRA,66.0,0.0,10.0,5.0,Yes
FRA,56.0,0.0,0.0,0.0,No
DEU,27.0,0.0,6.0,3.0,Yes
DEU,31.0,0.0,0.0,0.0,No
IRL,50.0,0.0,6.0,3.0,Yes
IRL,50.0,0.0,0.0,0.0,No
PRT,44.0,0.0,2.0,1.0,Yes
PRT,33.0,0.0,2.0,1.0,Yes
DEU,58.0,0.0,10.0,5.0,Yes
DEU,50.0,0.0,0.0,0.0,No
FRA,38.0,0.0,3.0,3.0,Yes
PRT,61.0,0.0,8.0,4.0,Yes
AUT,58.0,0.0,0.0,0.0,No
FRA,63.0,0.0,3.0,3.0,Yes
PRT,39.0,0.0,2.0,1.0,Yes
PRT,38.0,0.0,0.0,0.0,No
PRT,45.0,0.0,2.0,1.0,Yes
ESP,49.0,0.0,2.0,1.0,Yes
PRT,31.0,0.0,14.0,7.0,Yes
ESP,56.0,0.0,2.0,2.0,Yes
ESP,44.0,0.0,4.0,4.0,Yes
PRT,52.0,0.0,8.0,4.0,Yes
FRA,31.0,0.0,8.0,4.0,Yes
FRA,35.0,0.0,0.0,0.0,No
AGO,52.0,0.0,2.0,1.0,Yes
AGO,18.0,0.0,0.0,0.0,No
FRA,41.0,0.0,6.0,3.0,Yes
ESP,41.0,0.0,0.0,0.0,No
USA,68.0,0.0,2.0,1.0,Yes
USA,68.0,0.0,0.0,0.0,No
PRT,31.0,0.0,2.0,2.0,Yes
PRT,53.0,0.0,1.0,1.0,Yes
AGO,42.0,0.0,2.0,1.0,Yes
PRT,35.0,0.0,4.0,2.0,Yes
PRT,75.0,0.0,8.0,4.0,Yes
FRA,69.0,0.0,0.0,0.0,No
PRT,22.0,0.0,14.0,14.0,Yes
PRT,34.0,0.0,2.0,1.0,Yes
FRA,56.0,0.0,10.0,5.0,Yes
FRA,45.0,0.0,0.0,0.0,No
DEU,67.0,0.0,12.0,6.0,Yes
DEU,53.0,0.0,0.0,0.0,No
IRL,50.0,0.0,4.0,2.0,Yes
IRL,12.0,0.0,0.0,0.0,No
IRL,15.0,0.0,0.0,0.0,No
IRL,11.0,0.0,0.0,0.0,No
PRT,23.0,0.0,6.0,2.0,Yes
ROU,57.0,0.0,4.0,2.0,Yes
ROU,51.0,0.0,0.0,0.0,No
ROU,43.0,0.0,4.0,2.0,Yes
ROU,40.0,0.0,0.0,0.0,No
ROU,47.0,0.0,4.0,2.0,Yes
ROU,39.0,0.0,0.0,0.0,No
FRA,54.0,0.0,12.0,6.0,Yes
FRA,52.0,0.0,0.0,0.0,No
AGO,52.0,0.0,2.0,1.0,Yes
NLD,36.0,0.0,10.0,5.0,Yes
NLD,32.0,0.0,0.0,0.0,No
PRT,45.0,0.0,4.0,2.0,Yes
PRT,72.0,0.0,0.0,0.0,No
USA,32.0,0.0,2.0,1.0,Yes
USA,45.0,0.0,0.0,0.0,No
PRT,56.0,0.0,1.0,1.0,Yes
PRT,65.0,0.0,2.0,1.0,Yes
PRT,41.0,0.0,6.0,3.0,Yes
FRA,39.0,0.0,0.0,0.0,No
CAN,51.0,0.0,6.0,3.0,Yes
FRA,53.0,0.0,10.0,5.0,Yes
FRA,57.0,0.0,0.0,0.0,No
DEU,39.0,0.0,0.0,0.0,No
PRT,30.0,0.0,5.0,5.0,Yes
GBR,64.0,0.0,6.0,3.0,Yes
GBR,63.0,0.0,0.0,0.0,No
BEL,62.0,0.0,8.0,4.0,Yes
BEL,54.0,0.0,0.0,0.0,No
GBR,41.0,0.0,3.0,3.0,Yes
FRA,51.0,0.0,10.0,5.0,Yes
FRA,64.0,0.0,0.0,0.0,No
PRT,64.0,0.0,1.0,1.0,Yes
PRT,41.0,0.0,1.0,1.0,Yes
PRT,58.0,0.0,2.0,1.0,Yes
PRT,39.0,0.0,0.0,0.0,No
PRT,58.0,0.0,6.0,3.0,No
HUN,29.0,0.0,0.0,0.0,No
DEU,55.0,0.0,5.0,5.0,Yes
ZAF,51.0,0.0,12.0,6.0,Yes
PRT,51.0,0.0,0.0,0.0,No
POL,59.0,0.0,8.0,4.0,Yes
POL,56.0,0.0,0.0,0.0,No
PRT,60.0,0.0,4.0,4.0,Yes
FRA,32.0,0.0,9.0,3.0,Yes
FRA,32.0,0.0,0.0,0.0,No
FRA,74.0,0.0,0.0,0.0,No
PRT,39.0,0.0,1.0,1.0,No
FRA,40.0,0.0,6.0,3.0,Yes
FRA,38.0,0.0,0.0,0.0,No
NLD,39.0,0.0,1.0,1.0,Yes
BEL,48.0,0.0,12.0,4.0,Yes
TWN,70.0,0.0,0.0,0.0,No
BEL,53.0,0.0,0.0,0.0,No
PRT,54.0,0.0,1.0,1.0,No
FRA,30.0,0.0,10.0,5.0,Yes
FRA,36.0,0.0,0.0,0.0,No
AGO,52.0,0.0,4.0,2.0,Yes
AGO,18.0,0.0,0.0,0.0,No
USA,66.0,0.0,14.0,7.0,Yes
USA,67.0,0.0,0.0,0.0,No
FRA,30.0,0.0,1.0,1.0,Yes
PRT,42.0,0.0,0.0,0.0,No
DEU,61.0,0.0,2.0,1.0,Yes
PRT,32.0,0.0,1.0,1.0,No
PRT,31.0,0.0,1.0,1.0,No
PRT,31.0,0.0,1.0,1.0,No
PRT,27.0,0.0,1.0,1.0,No
PRT,35.0,0.0,1.0,1.0,Yes
ITA,50.0,0.0,1.0,1.0,Yes
PRT,34.0,0.0,2.0,1.0,Yes
AGO,34.0,0.0,0.0,0.0,No
PRT,51.0,0.0,3.0,1.0,Yes
PRT,50.0,0.0,0.0,0.0,No
FRA,64.0,0.0,8.0,4.0,Yes
PRT,44.0,0.0,2.0,1.0,Yes
FRA,42.0,0.0,4.0,2.0,Yes
FRA,31.0,0.0,0.0,0.0,No
DEU,46.0,0.0,2.0,2.0,Yes
FRA,36.0,0.0,6.0,3.0,Yes
FRA,38.0,0.0,0.0,0.0,No
BEL,38.0,0.0,6.0,3.0,Yes
BEL,37.0,0.0,0.0,0.0,No
PRT,32.0,0.0,2.0,1.0,Yes
PRT,32.0,0.0,0.0,0.0,No
PRT,34.0,0.0,6.0,3.0,Yes
FRA,64.0,0.0,6.0,3.0,Yes
FRA,50.0,0.0,0.0,0.0,No
FRA,34.0,0.0,0.0,0.0,No
FRA,66.0,0.0,6.0,3.0,Yes
FRA,53.0,0.0,6.0,3.0,Yes
FRA,47.0,0.0,6.0,3.0,Yes
FRA,27.0,0.0,3.0,3.0,Yes
FRA,31.0,0.0,6.0,3.0,Yes
FRA,31.0,0.0,6.0,3.0,Yes
FRA,38.0,0.0,6.0,3.0,Yes
FRA,28.0,0.0,6.0,3.0,Yes
FRA,38.0,0.0,6.0,3.0,Yes
FRA,36.0,0.0,6.0,3.0,Yes
FRA,41.0,0.0,6.0,3.0,Yes
PRT,54.0,0.0,6.0,3.0,Yes
PRT,33.0,0.0,6.0,3.0,Yes
PRT,31.0,0.0,0.0,0.0,No
FRA,41.0,0.0,3.0,3.0,Yes
